word,wordFreq,letterFreqSum,letterPosFreqSum
BLACK,244690155.0,2656,942
SQUAD,8744772.0,2531,815
ROYAL,45407189.0,3765,730
CHUNK,2371231.0,2111,802
MINCE,328039.0,3264,1017
SHAME,6785296.0,3576,1305
CHEEK,2681029.0,2302,950
AMPLE,3187842.0,3602,819
FLAIR,1924190.0,3487,1011
FOYER,1042532.0,3533,973
CARGO,9748668.0,3410,799
OXIDE,5321340.0,3083,812
PLANT,53247607.0,3358,1082
OLIVE,9298184.0,3521,974
INERT,935898.0,4099,701
ASKEW,473664.0,3277,503
HEIST,419629.0,3684,1000
SHOWN,68755779.0,2575,907
ZESTY,210124.0,3091,827
TRASH,7092806.0,3656,1030
LARVA,462298.0,2740,662
FORGO,340426.0,2189,711
STORY,138433809.0,3471,1199
HAIRY,19060619.0,3353,1153
TRAIN,31816971.0,3844,1010
HOMER,4281428.0,3583,939
BADGE,6145138.0,3188,1050
MIDST,3381410.0,2776,807
CANNY,209480.0,2447,1185
FETUS,1744267.0,3322,605
BUTCH,1213820.0,2337,756
FARCE,727546.0,3806,1174
SLUNG,253265.0,2733,953
TIPSY,279464.0,2856,942
METAL,56181783.0,3966,776
YIELD,15022494.0,3433,664
DELVE,640909.0,2491,931
BEING,242783091.0,3063,903
SCOUR,411478.0,3259,942
GLASS,63559754.0,2669,828
GAMER,3144985.0,3728,1010
SCRAP,3757085.0,3380,786
MONEY,190205072.0,3296,1205
HINGE,1758893.0,3170,905
ALBUM,77914316.0,2753,520
VOUCH,388963.0,2233,774
ASSET,18178753.0,3602,807
TIARA,923335.0,3271,869
CREPT,588735.0,3696,945
BAYOU,1397958.0,2898,639
ATOLL,908471.0,3173,777
MANOR,7084688.0,3514,892
CREAK,124122.0,3787,917
SHOWY,294798.0,2426,1141
PHASE,40722940.0,3625,1184
FROTH,278469.0,2995,921
DEPTH,31879926.0,3104,685
GLOOM,878018.0,2095,732
FLOOD,13979267.0,2091,828
TRAIT,1705417.0,3271,1133
GIRTH,492919.0,2993,755
PIETY,595389.0,3418,1022
GOOSE,3739382.0,2961,1230
FLOAT,8808655.0,3402,993
DONOR,7096675.0,2616,871
ATONE,152901.0,4260,1064
PRIMO,912120.0,3001,800
APRON,1617357.0,3563,626
BLOWN,4229918.0,2516,771
CACAO,331714.0,2203,778
LOSER,2529180.0,4264,976
INPUT,57191675.0,2803,513
GLOAT,113594.0,3483,973
AWFUL,5217370.0,2580,446
BRINK,1484879.0,2630,1001
SMITE,270393.0,3613,1230
BEADY,87974.0,3302,1153
RUSTY,2780895.0,3184,873
RETRO,8000179.0,3609,665
DROLL,196087.0,2759,938
GAWKY,31136.0,2113,864
HUTCH,1373107.0,2057,652
PINTO,1108872.0,3090,676
EGRET,394773.0,3166,817
LILAC,1738684.0,2836,593
SEVER,686306.0,2947,1185
FIELD,135289140.0,3238,793
FLUFF,814535.0,1411,561
FLACK,408860.0,2605,904
AGAPE,414471.0,2880,929
VOICE,64600528.0,3280,1160
STEAD,724786.0,3995,899
STALK,936028.0,3298,1023
BERTH,1056010.0,3523,853
MADAM,2023575.0,1684,690
NIGHT,130531484.0,2669,586
BLAND,1606490.0,2937,979
LIVER,12139363.0,3665,867
WEDGE,3162851.0,2127,896
AUGUR,120764.0,2648,686
ROOMY,574188.0,2390,1059
WACKY,1861879.0,2278,861
FLOCK,2585098.0,2383,841
ANGRY,9267505.0,3179,808
TRITE,287494.0,3526,1243
APHID,295138.0,2790,486
TRYST,205722.0,2718,869
MIDGE,308737.0,2919,881
POWER,226596368.0,3439,976
ELOPE,74984.0,3064,987
CINCH,427247.0,2105,823
MOTTO,1894147.0,1798,694
STOMP,1168038.0,2831,809
UPSET,5544484.0,3458,745
BLUFF,3906671.0,1691,599
CRAMP,402123.0,3028,895
QUART,2002127.0,3096,917
COYLY,52174.0,2368,1032
YOUTH,51426255.0,2759,726
RHYME,1530733.0,3254,768
BUGGY,1955438.0,1480,865
ALIEN,10490554.0,4164,1054
SMEAR,1289528.0,4086,954
UNFIT,814145.0,2667,556
PATTY,2339693.0,2493,1059
CLING,946281.0,2744,887
GLEAN,232952.0,3804,784
LABEL,41359857.0,3201,920
HUNKY,279599.0,2060,810
KHAKI,1481504.0,2242,536
POKER,129054826.0,3455,962
GRUEL,82196.0,3619,1020
TWICE,19945569.0,3298,1031
TWANG,243118.0,2781,722
SHRUG,720506.0,2728,795
TREAT,19442315.0,3831,1008
WASTE,41089558.0,3796,1027
MERIT,6450895.0,3842,922
WOVEN,4248524.0,2902,858
NEEDY,1636137.0,2620,888
CLOWN,3081501.0,2711,796
WIDOW,3804620.0,2010,507
IRONY,2212193.0,3317,1090
RUDER,89666.0,2986,895
GAUZE,556178.0,3021,1026
CHIEF,45699591.0,2991,952
ONSET,3858839.0,3953,779
PRIZE,16204739.0,3202,1116
FUNGI,2000715.0,2248,544
CHARM,10554644.0,3050,840
GULLY,800734.0,1916,938
INTER,15269346.0,4099,762
WHOOP,331753.0,1699,657
TAUNT,295148.0,2743,1053
LEERY,168700.0,3267,1019
CLASS,191087771.0,2834,911
THEME,37219937.0,2662,960
LOFTY,1018661.0,2851,894
TIBIA,620778.0,2654,627
BOOZE,1178694.0,2303,1137
ALPHA,27832836.0,2443,488
THYME,1007823.0,3086,812
DOUBT,20311261.0,2621,832
PARER,38034.0,3467,1138
CHUTE,834005.0,3287,1068
STICK,22399126.0,2752,971
TRICE,354532.0,4001,1254
ALIKE,6220739.0,3801,1083
RECAP,2861982.0,3942,620
SAINT,38929141.0,3615,1370
GLORY,13158826.0,3100,1072
GRATE,672155.0,4141,1249
ADMIT,8780656.0,3083,632
BRISK,774000.0,2725,990
SOGGY,331525.0,2155,1151
USURP,171456.0,2396,420
SCALD,101839.0,3227,991
SCORN,622924.0,3366,928
LEAVE,70957750.0,3073,1101
TWINE,415457.0,3396,1063
STING,2773263.0,2950,931
BOUGH,520067.0,2196,830
MARSH,5073104.0,3243,882
SLOTH,519428.0,3253,1084
DANDY,1098188.0,2365,985
VIGOR,977544.0,2782,655
HOWDY,726642.0,2151,807
ENJOY,50141455.0,3007,658
VALID,57094711.0,2906,735
IONIC,1808092.0,2471,639
EQUAL,34832354.0,3416,559
FLOOR,53759851.0,2595,922
CATCH,20400979.0,2566,900
SPADE,1567565.0,3631,1223
STEIN,3893544.0,3870,907
EXIST,25349128.0,3334,776
QUIRK,444069.0,2272,737
DENIM,4737554.0,3182,689
GROVE,15189493.0,3342,1092
SPIEL,811922.0,3649,1165
MUMMY,1878933.0,1206,785
FAULT,13112664.0,3115,1019
FOGGY,704386.0,1716,921
FLOUT,72396.0,2893,913
CARRY,33056477.0,2771,1179
SNEAK,2280877.0,3656,904
LIBEL,866830.0,2896,817
WALTZ,1723021.0,2654,641
APTLY,598371.0,3209,838
PINEY,394672.0,3262,1161
INEPT,458533.0,3567,601
ALOUD,3743858.0,3303,783
PHOTO,227125249.0,2234,725
DREAM,33518573.0,3811,759
STALE,1065657.0,4318,1332
UNITE,2888724.0,3668,947
SNARL,184639.0,3829,1063
BAKER,14862470.0,3592,1019
THERE,701170205.0,3243,1042
GLYPH,632257.0,2202,531
POOCH,348386.0,1980,950
HIPPY,608617.0,1846,741
SPELL,8506049.0,2979,920
FOLLY,1367992.0,2122,1052
LOUSE,178544.0,3833,1124
GULCH,647573.0,2354,699
VAULT,5408483.0,3038,927
GODLY,725475.0,2596,995
THREW,4410853.0,3437,791
FLEET,10364423.0,2904,1083
GRAVE,6929008.0,3564,1155
INANE,319343.0,3448,1031
SHOCK,14850388.0,2493,1015
CRAVE,1199466.0,3729,1238
SPITE,4493143.0,3662,1253
VALVE,11325360.0,3073,926
SKIMP,107336.0,2229,765
CLAIM,40085342.0,3152,904
RAINY,2469088.0,3539,1221
MUSTY,237343.0,2603,875
PIQUE,664313.0,2760,847
DADDY,9211193.0,1792,923
QUASI,2804115.0,2808,696
ARISE,8337093.0,4440,1266
AGING,12014007.0,2528,640
VALET,2052690.0,3802,1030
OPIUM,1330299.0,2570,492
AVERT,767435.0,3983,735
STUCK,9120620.0,2548,870
RECUT,146984.0,3797,737
MULCH,833160.0,2360,691
GENRE,22344091.0,3010,1065
PLUME,1269109.0,3093,996
RIFLE,5047417.0,3742,915
COUNT,40345803.0,2996,1077
INCUR,1984112.0,3081,471
TOTAL,222649459.0,3173,856
WREST,185267.0,3718,950
MOCHA,933522.0,2906,533
DETER,1887521.0,3249,993
STUDY,152978354.0,2680,1040
LOVER,9234545.0,3748,945
SAFER,5085040.0,3999,1224
RIVET,616847.0,3678,926
FUNNY,34281806.0,1692,1003
SMOKE,16567733.0,3177,1123
MOUND,2259654.0,2501,851
UNDUE,1377567.0,2662,699
SEDAN,4769270.0,3839,973
PAGAN,3805644.0,2223,804
SWINE,1578713.0,3335,1279
GUILE,1026260.0,3392,1150
GUSTY,202515.0,2597,883
EQUIP,4044391.0,2760,456
TOUGH,13560922.0,2645,806
CANOE,3790795.0,4006,1193
CHAOS,8690268.0,3258,816
COVET,219812.0,3339,1097
HUMAN,160573748.0,2717,607
UDDER,175766.0,2986,658
LUNCH,20807419.0,2617,696
BLAST,9387171.0,3368,1103
STRAY,1807545.0,3693,1131
MANGA,12774174.0,2174,687
MELEE,1034523.0,2262,1200
LEFTY,978333.0,3328,856
QUICK,85584600.0,1850,737
PASTE,8913055.0,3967,1086
GIVEN,125542966.0,2935,813
OCTET,2280607.0,3187,763
RISEN,2619862.0,4038,834
GROAN,473578.0,3508,917
LEAKY,650957.0,3555,1053
GRIND,2482307.0,2843,948
CARVE,952422.0,3729,1132
LOOSE,12556710.0,3367,1202
SADLY,3905175.0,3176,1270
SPILT,214786.0,3148,1107
APPLE,50551171.0,3286,842
SLACK,1954286.0,3044,1134
HONEY,9978043.0,3367,1167
FINAL,97649084.0,3163,790
SHEEN,1124463.0,2858,1134
EERIE,772484.0,2797,1056
MINTY,218953.0,2712,948
SLICK,2372634.0,2739,1094
DERBY,6319608.0,3224,903
WHARF,2226856.0,2682,708
SPELT,431427.0,3708,1018
COACH,24514961.0,2590,1070
ERUPT,300083.0,3687,807
SINGE,106880.0,3451,1201
PRICE,501651226.0,3637,1246
SPAWN,1908837.0,2775,887
FAIRY,6435300.0,3195,1219
JIFFY,475865.0,1350,645
FILMY,657205.0,2355,880
STACK,11090579.0,3057,1011
CHOSE,9409845.0,3513,1178
SLEEP,29491537.0,2979,1116
ARDOR,155258.0,3018,826
NANNY,3025474.0,1972,1024
NIECE,1151039.0,2948,987
WOOZY,72439.0,1411,988
HANDY,7936655.0,2752,943
GRACE,17642126.0,3887,1260
DITTO,1386002.0,2545,620
STANK,100733.0,3155,1043
CREAM,25898758.0,3893,846
USUAL,17044981.0,2825,531
DIODE,1897828.0,3046,1046
VALOR,1193133.0,3493,803
ANGLE,17016075.0,3804,878
NINJA,4439780.0,2245,440
MUDDY,1860188.0,1599,800
CHASE,10971945.0,3735,1241
REPLY,184777992.0,3632,929
PRONE,3001079.0,3818,1255
SPOIL,1419320.0,3172,982
HEART,90249265.0,4218,1019
SHADE,6996835.0,3653,1306
DINER,2261961.0,3763,979
ARSON,989351.0,3866,749
ONION,6384730.0,1996,656
SLEET,305148.0,3343,1313
DOWEL,285802.0,3286,889
COUCH,4581367.0,2081,929
PALSY,1409502.0,3148,1092
BOWEL,2666510.0,3173,951
SMILE,13893537.0,3600,1253
EVOKE,804417.0,2345,807
